
                         | seqtrack_b256    |
cat-18 (ID=0)            | 0.16             |
cat-19 (ID=1)            | 0.08             |
cat-17 (ID=2)            | 0.04             |
chameleon-18 (ID=3)      | 0.08             |
chameleon-20 (ID=4)      | 0.09             |
chameleon-19 (ID=5)      | 0.13             |
chameleon-17 (ID=6)      | 0.16             |
cattle-19 (ID=7)         | 0.16             |
cattle-17 (ID=8)         | 0.18             |
cattle-20 (ID=9)         | 0.14             |
cattle-18 (ID=10)        | 0.09             |
coin-20 (ID=11)          | 0.12             |
coin-17 (ID=12)          | 0.18             |
coin-18 (ID=13)          | 0.15             |
coin-19 (ID=14)          | 0.11             |
crab-20 (ID=15)          | 0.07             |
crab-17 (ID=16)          | 0.18             |
crab-19 (ID=17)          | 0.13             |
crab-18 (ID=18)          | 0.12             |
