
                       | seqtrack_b256    |
boat-19 (ID=0)         | 1.69             |
boat-17 (ID=1)         | 2.23             |
boat-18 (ID=2)         | 3.84             |
boat-20 (ID=3)         | 1.53             |
book-17 (ID=4)         | 0.62             |
book-20 (ID=5)         | 0.55             |
book-19 (ID=6)         | 1.24             |
book-18 (ID=7)         | 1.75             |
bottle-19 (ID=8)       | 3.54             |
bottle-20 (ID=9)       | 22.37            |
bottle-18 (ID=10)      | 0.14             |
bottle-17 (ID=11)      | 5.44             |
bus-19 (ID=12)         | 0.09             |
bus-18 (ID=13)         | 0.29             |
bus-17 (ID=14)         | 20.14            |
bus-20 (ID=15)         | 2.91             |
car-20 (ID=16)         | 1.42             |
car-17 (ID=17)         | 13.84            |
car-19 (ID=18)         | 1.41             |
car-18 (ID=19)         | 0.42             |
